PREMIUM STORAGE UPGRADE — CREDIT & PAY-THE-DIFFERENCE,,,,,
Graduate Credit: $300  |  Doctorate Credit: $500  |  Install labor included  |  No markup on materials,,,,,
Bold Series Set,Model #,Retail Cost,Graduate Pays (-$300),Doctorate Pays (-$500),Link
"3-Pc Wall Cabinets (96""W x 20""H x 12""D)",50653,380,80,COVERED,View Product ➜
"6-Pc Wall Cabinets (192""W x 19.58""H x 12""D)",50659,600,300,100,View Product ➜
"2-Piece System (104""W x 77""H x 18""D)",50500,1400,1100,900,View Product ➜
"3-Piece System (108""W x 76.75""H x 18""D)",50670,1280,980,780,View Product ➜
"4-Pc Bamboo Top (92""W x 76.75""H x 18""D)",73501,1340,1040,840,View Product ➜
"4-Pc Stainless Top (92""W x 76.75""H x 18""D)",73505,1430,1130,930,View Product ➜
"5-Pc Bamboo Top (120""W x 76.75""H x 18""D)",73509,1987,1687,1487,View Product ➜
"5-Pc Stainless Top (120""W x 76.75""H x 18""D)",73513,2140,1840,1640,View Product ➜
"6-Piece System (144""W x 76.75""H x 18""D)",50502,2150,1850,1650,View Product ➜
"7-Piece System (108""W x 76.75""H x 18""D)",50421,1680,1380,1180,View Product ➜
"7-Piece Extended (174""W x 77""H x 18""D)",50506,2530,2230,2030,View Product ➜
"8-Piece System (132""W x 77""H x 18""D)",50405,1850,1550,1350,View Product ➜
"8-Piece System (132""W x 76.75""H x 18""D)",50462,2200,1900,1700,View Product ➜
"9-Piece System (132""W x 77""H x 18""D)",50408,1950,1650,1450,View Product ➜
"9-Piece Platinum (132""W x 76.75""H x 18""D)",54992,1950,1650,1450,View Product ➜
